step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
76,0.10092349521136013,0.05092349521136012,18,0.04772655483584359,0.05130307338214343,average,0.864962503284476,3.0609720878585684,0.3657377363924884,0.26066868038682434,0.7900798754173672
77,0.1,0.05,18,0.04002850757436393,0.038946214626454055,average,0.8524076861115886,3.0828223059045747,0.36522926005323425,0.2578507898691263,0.7902725831813979
78,0.1,0.05,18,0.16055398401722107,0.14983426357059443,weak,0.8641746297598726,2.6707596341890376,0.36522926005323425,0.2940084328019834,0.7420523215049768
79,0.10177354176815294,0.05177354176815293,18,0.13326374972564334,0.1323314781517962,weak,0.8380185358966286,3.5374580766206014,0.36620802176620987,0.28680012422748574,0.738879163562426
80,0.10292764867437944,0.052927648674379435,18,0.045170754951572245,0.04913335864373575,average,0.8488007771694372,3.43547099997788,0.36684994750964084,0.26101415153869534,0.7837489231826962
81,0.1,0.05,18,0.018924478444055114,0.014595702473204505,strong,0.8274903211723967,3.177952039434035,0.36522926005323425,0.25151958113003364,0.7906506203016332
82,0.1,0.05,18,0.14309436148565619,0.14546908804146097,weak,0.838429664662038,3.807938682270649,0.36522926005323425,0.28877054604251395,0.7329552048750083
83,0.10194260317754034,0.051942603177540334,18,0.012024908554804778,0.01,strong,0.8260133932876649,3.5574149189557915,0.36630180995410244,0.2505222600641267,0.7921538009730367
84,0.1,0.05,18,0.02733845569383307,0.016727674708769902,strong,0.8721455545245352,2.8224914204001155,0.36522926005323425,0.25404377430496705,0.8095336684865978
85,0.1,0.05,18,0.05102325617551073,0.05344442653984199,average,0.8768344722972448,3.0660015705006853,0.36522926005323425,0.2611492144494703,0.7944105991458844
86,0.1,0.05,18,0.016603414960512004,0.01438431781978086,strong,0.866988930382099,3.0002232687128947,0.36522926005323425,0.2508232620849707,0.8085897494445461
87,0.1,0.05,18,0.009702373219691,0.01,strong,0.7866709025121309,2.970986117786033,0.36522926005323425,0.24875294956272442,0.7746266111741864
88,0.1,0.05,18,0.04087417366267566,0.04213701441964146,average,0.8265405856742153,3.7680258013658103,0.36522926005323425,0.25810448969561983,0.7771711580949964
89,0.1,0.05,18,0.005125868150050658,0.012276575039853821,strong,0.8426953595795726,3.317524583372147,0.36522926005323425,0.2473799980418323,0.7989504532386903
90,0.1,0.05,18,0.059355816557882364,0.05214945011255179,average,0.8227790062899235,3.6272515358328077,0.36522926005323425,0.26364898256418184,0.7704184020233991
91,0.1,0.05,18,0.03662841764215612,0.03657725233705819,average,0.8318660762925533,3.416933452465301,0.36522926005323425,0.25683076288946394,0.7821968944910264
92,0.1,0.05,18,0.1345498879909079,0.13355458951304053,weak,0.8394919117703364,3.2992430356833253,0.36522926005323425,0.2862072039940895,0.7390510746163742
93,0.10118151044639911,0.05118151044639912,18,0.14100854368081064,0.14293511166511944,weak,0.8536056582354917,3.4792200960576514,0.3658802553432392,0.28879579599106525,0.740922166357561
94,0.10242001053558017,0.052420010535580173,18,0.1497185979137848,0.14178851383305804,weak,0.8264091514193675,3.9228949014488523,0.36656711115770635,0.29209566807542464,0.7288697201062968
95,0.10490142806031753,0.05490142806031754,18,0.11940465744719683,0.12916509644480934,weak,0.8477859626535033,3.4643439631180124,0.36795680033503986,0.2843911751127818,0.7449402722826342
96,0.1051271553160171,0.0551271553160171,18,0.011404959338675164,0.01,strong,0.8383361713188616,3.2258576787816153,0.368084101111085,0.2521185664562704,0.7975394204478607
97,0.1,0.05,18,0.147917467173342,0.15038247184663617,weak,0.8397089541746281,3.533183039292627,0.36522926005323425,0.29021747774881973,0.7311751692727144
98,0.10223934540772979,0.05223934540772979,18,0.036327436436009476,0.03454235900618424,average,0.8373321190161711,3.5525131825903333,0.36646663427438797,0.2579778427487737,0.7854576077296169
99,0.1,0.05,18,0.1393801144701876,0.13784361686580457,weak,0.8677534916902915,3.4671910627634035,0.36522926005323425,0.2876562719378734,0.7496938164772317
100,0.10048465834486747,0.05048465834486747,18,0.03407151081001825,0.03821648586462861,average,0.8402267415842368,3.5034233611016883,0.36549579416134564,0.256330224947934,0.7852715925790305
101,0.1,0.05,18,0.14979297423130036,0.14674112290413305,weak,0.8510782174342294,3.3135006251789543,0.36522926005323425,0.2907801298662072,0.7378736795519226
102,0.10176348081124781,0.0517634808112478,18,0.01693596234372794,0.010547637864785816,strong,0.8394242169479845,3.4458377649720284,0.36620244303457644,0.2518962092812777,0.7978048396593117
103,0.1,0.05,18,0.14695549681015924,0.1479664600723287,weak,0.8471426252489679,3.607935465782477,0.36522926005323425,0.2899288866398649,0.7356363856655012
104,0.101851665044685,0.051851665044685004,18,0.0412374044299987,0.03711032268505855,average,0.8675137432198654,3.6735233698806313,0.36625135078123794,0.25923554965382045,0.7977579842752812
105,0.1,0.05,18,0.1455587457849707,0.14545372657680689,weak,0.8651353087394116,3.185222383208283,0.36522926005323425,0.2895098613323083,0.7449057258399412
106,0.10106542179792377,0.05106542179792377,18,0.043755551072860145,0.042134719310417935,average,0.8487483107202591,3.3094551651247475,0.3658161073219806,0.2595557501874215,0.7870205411156866
107,0.1,0.05,18,0.054409688514269514,0.051433903387084944,average,0.8351318356488429,3.9060185928919577,0.36522926005323425,0.262165144151098,0.7764475551026815
108,0.1,0.05,18,0.14071127562488114,0.14574136253237965,weak,0.8272124770577577,3.62573567223634,0.36522926005323425,0.28805562028428144,0.7278564395079922
109,0.10227424565935682,0.05227424565935682,18,0.01395831346981468,0.01,strong,0.8636679088511076,3.471204780714292,0.3664860365528595,0.2512865081373868,0.8090219081692597
110,0.1,0.05,18,0.04866020632428196,0.048721440188516534,average,0.8335511618837956,3.3010437776444377,0.36522926005323425,0.2604402994941017,0.7771293448134654
111,0.1,0.05,18,0.13386138970735875,0.13724719826491932,weak,0.8709986439818673,3.234185195735678,0.36522926005323425,0.28600065450902473,0.7515880851217244
112,0.10015651766089753,0.05015651766089753,18,0.13872540509432657,0.14285289107828913,weak,0.8450472745321035,3.4024828413012735,0.3653152585767389,0.28754585764861973,0.7372328867893545
113,0.10161709968076763,0.051617099680767616,18,0.13638268513220317,0.13920130789622304,weak,0.8348312994783758,3.354530747084965,0.36612130961068323,0.287649092693927,0.734268586942576
114,0.10323985864959204,0.053239858649592034,18,0.043149368799711846,0.04192453594416823,average,0.8409135214163637,3.143273466750091,0.3670242738387392,0.2605820620222356,0.7834868372602645
